"Date","Price","Open","High","Low","Vol.","Change %"
"09/05/2018","375.68","379.07","379.07","375.45","248.56M","-1.09%"
"09/04/2018","379.83","383.18","384.02","378.59","221.98M","-0.70%"
"09/03/2018","382.51","381.92","382.76","381.60","126.94M","0.07%"
"08/31/2018","382.26","385.06","385.06","382.02","227.46M","-0.80%"
"08/30/2018","385.36","386.52","386.52","383.90","177.51M","-0.32%"
"08/29/2018","386.58","385.89","386.75","384.66","169.04M","0.29%"
"08/28/2018","385.46","386.00","386.80","385.40","161.59M","-0.03%"
"08/27/2018","385.57","384.07","385.83","384.07","58.89M","0.52%"
"08/24/2018","383.56","383.37","384.80","382.96","134.08M","0.05%"
"08/23/2018","383.38","384.16","385.31","383.32","147.33M","-0.17%"
"08/22/2018","384.02","383.66","385.00","383.27","160.33M","-0.03%"
"08/21/2018","384.15","382.71","385.27","382.36","149.22M","0.24%"
"08/20/2018","383.23","381.33","384.05","381.33","141.32M","0.57%"
"08/17/2018","381.06","381.44","382.09","379.09","172.11M","-0.10%"
"08/16/2018","381.43","380.30","381.75","379.85","194.05M","0.46%"
"08/15/2018","379.70","385.18","385.87","378.73","212.46M","-1.36%"
"08/14/2018","384.92","385.51","387.22","384.01","184.24M","0.00%"
"08/13/2018","384.91","385.62","385.72","383.65","168.91M","-0.25%"
"08/10/2018","385.86","389.91","389.91","384.97","206.28M","-1.07%"
"08/09/2018","390.05","389.01","390.10","388.07","149.76M","0.09%"
"08/08/2018","389.69","389.73","390.66","388.88","161.80M","-0.20%"
"08/07/2018","390.49","388.85","391.47","388.85","170.20M","0.47%"
"08/06/2018","388.66","389.44","390.31","387.59","181.17M","-0.13%"
"08/03/2018","389.16","387.33","389.63","387.09","179.25M","0.65%"
"08/02/2018","386.64","389.46","389.46","385.93","254.09M","-0.82%"
"08/01/2018","389.84","391.81","392.26","389.59","233.92M","-0.45%"
"07/31/2018","391.61","390.76","392.69","390.37","235.59M","0.18%"
"07/30/2018","390.92","391.17","391.72","390.39","170.86M","-0.30%"
"07/27/2018","392.08","390.34","392.20","390.34","210.31M","0.40%"
"07/26/2018","390.53","387.65","390.63","387.65","192.17M","0.87%"
"07/25/2018","387.17","388.42","388.69","386.60","192.54M","-0.26%"
"07/24/2018","388.18","385.70","389.31","385.70","209.39M","0.86%"
"07/23/2018","384.88","385.55","385.69","383.59","155.77M","-0.19%"
"07/20/2018","385.62","385.63","386.84","382.91","207.53M","-0.15%"
"07/19/2018","386.18","387.03","387.52","385.64","188.28M","-0.23%"
"07/18/2018","387.06","385.60","387.56","385.60","183.62M","0.54%"
"07/17/2018","384.98","384.03","385.46","382.74","190.16M","0.24%"
"07/16/2018","384.05","385.21","385.98","383.32","155.52M","-0.25%"
"07/13/2018","385.03","384.92","386.53","384.67","164.82M","0.17%"
"07/12/2018","384.37","382.08","384.47","381.29","187.23M","0.78%"
"07/11/2018","381.40","384.56","384.56","381.08","196.72M","-1.26%"
"07/10/2018","386.25","385.17","386.87","384.66","185.27M","0.43%"
"07/09/2018","384.59","383.45","385.15","383.45","169.28M","0.58%"
"07/06/2018","382.36","382.12","382.91","380.31","181.71M","0.20%"
"07/05/2018","381.59","379.71","383.41","379.71","191.10M","0.41%"
"07/04/2018","380.05","379.56","380.60","379.00","148.72M","0.06%"
"07/03/2018","379.81","377.34","380.98","377.21","229.78M","0.81%"
"07/02/2018","376.75","378.59","378.59","375.22","200.64M","-0.84%"
"06/29/2018","379.93","378.33","381.69","378.33","246.22M","0.81%"
"06/28/2018","376.87","379.02","380.24","375.11","214.77M","-0.82%"
"06/27/2018","379.97","377.36","381.77","374.38","319.22M","0.72%"
"06/26/2018","377.25","377.82","378.78","376.82","229.62M","0.05%"
"06/25/2018","377.05","383.80","383.80","377.05","182.51M","-2.07%"
"06/22/2018","385.01","381.03","385.01","381.03","194.40M","1.09%"
"06/21/2018","380.85","384.72","386.12","380.15","212.30M","-0.90%"
"06/20/2018","384.29","383.96","386.55","383.96","220.00M","0.28%"
"06/19/2018","383.21","384.71","384.71","380.83","235.51M","-0.70%"
"06/18/2018","385.91","388.75","388.87","384.59","190.92M","-0.83%"
"06/15/2018","389.13","393.07","393.96","389.13","434.53M","-0.99%"
"06/14/2018","393.04","386.99","393.89","385.52","277.19M","1.23%"
"06/13/2018","388.25","388.00","389.13","387.08","222.02M","0.19%"
"06/12/2018","387.53","388.70","389.64","387.33","215.22M","-0.11%"
"06/11/2018","387.94","385.30","388.24","385.30","227.86M","0.73%"
"06/08/2018","385.12","385.60","386.00","382.78","211.62M","-0.21%"
"06/07/2018","385.94","387.13","389.06","385.33","249.24M","-0.24%"
